detectRooms: vertices: 37 edges: 34 cycles: 15
roomDetection.js:175   cycle: 4 pts, signed: -14951114, area: 14951114, CCW KEEP (-2015,-2003) -> (-2007,993) -> (2991,999) -> (2991,-1983)
roomDetection.js:175   cycle: 4 pts, signed: 14951114, area: 14951114, CW KEEP (-2007,993) -> (-2015,-2003) -> (2991,-1983) -> (2991,999)
roomDetection.js:177   cycle: 4 pts, signed: 0, area: 0, CCW TOO_SMALL
roomDetection.js:177   cycle: 7 pts, signed: -90000, area: 90000, CCW TOO_SMALL
roomDetection.js:177   cycle: 5 pts, signed: 90000, area: 90000, CW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: 90000, area: 90000, CW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: -90000, area: 90000, CCW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: 90000, area: 90000, CW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: -90000, area: 90000, CCW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: 90000, area: 90000, CW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: -90000, area: 90000, CCW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: 90000, area: 90000, CW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: -90000, area: 90000, CCW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: 90000, area: 90000, CW TOO_SMALL
roomDetection.js:177   cycle: 4 pts, signed: -90000, area: 90000, CCW TOO_SMALL
